record_id,dataset_type,name,category,description,address,latitude,longitude,source_dataset
seat-1769898,public_seat,Seat - Timber Bench - University Square,Seat,Seat - Timber Bench - University Square,"University Square, approximately 60m West of Graduate Union Of The University Of Melbourne Inc, 210-214 Leicester Street, CARLTON VIC 3053",-37.8007315,144.9604064,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1769900,public_seat,Seat - Timber Bench - University Square,Seat,Seat - Timber Bench - University Square,"University Square, approximately 62m West of Graduate Union Of The University Of Melbourne Inc, 210-214 Leicester Street, CARLTON VIC 3053",-37.800728,144.9603903,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1769911,public_seat,Seat - Timber Bench Type 2 - University Square,Seat,Seat - Timber Bench Type 2 - University Square,"University Square, approximately 41m NW of Melbourne Business School Limited, 176-180 Leicester Street, CARLTON VIC 3053",-37.8015149,144.9605848,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771612,public_seat,Seat - Stainless Steel Seat - Swivel - Fawkner Park,Seat,Seat - Stainless Steel Seat - Swivel - Fawkner Park,"Fawkner Park, approximately 93m South of South Yarra Senior Citizens Centre, Melbourne/South Yarra Senior Citizens Centre, 65W Toorak Road, SOUTH YARRA VIC 3141",-37.8390635,144.9803775,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771613,public_seat,Seat - Stainless Steel Seat - Swivel - Fawkner Park,Seat,Seat - Stainless Steel Seat - Swivel - Fawkner Park,"Fawkner Park, approximately 92m South of South Yarra Senior Citizens Centre, Melbourne/South Yarra Senior Citizens Centre, 65W Toorak Road, SOUTH YARRA VIC 3141",-37.8390484,144.9803772,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771614,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Shrine of Remembrance Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Shrine of Remembrance Reserve,Shrine of Remembrance Reserve,-37.8307913,144.9724732,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771620,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Shrine of Remembrance Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Shrine of Remembrance Reserve,Shrine of Remembrance Reserve,-37.8308455,144.9725002,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771621,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Jolimont Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Jolimont Reserve,"Jolimont Reserve, approximately 35m NE of 101 Wellington Parade South, EAST MELBOURNE VIC 3002",-37.816518,144.9812436,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771623,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Kings Domain,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Kings Domain,Kings Domain,-37.8234621,144.9722864,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771624,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Shrine of Remembrance Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Shrine of Remembrance Reserve,"Shrine of Remembrance Reserve, approximately 69m SW of Friends Of The Royal Botanic Gardens, Observatory Gate Lodge, 100 Birdwood Avenue, MELBOURNE VIC 3004",-37.8305385,144.9742585,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771626,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Alexandra Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Alexandra Park,Alexandra Park,-37.82803,144.9847076,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771630,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Royal Australasian College Of Surgeons,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Royal Australasian College Of Surgeons,"Royal Australasian College Of Surgeons, approximately 34m North of College of Surgeons' Museum and Art Gallery, Part Ground 250 Spring Street, EAST MELBOURNE VIC 3002",-37.8088196,144.9722754,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
